queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"July 31, 1989",Memorandum,Congratulatory Letter from President Bush to the',Latin American Directorate Chronological Files,"August 1, 1989-August 15, 1989 [4]",High,78,Restricted - Possibly,28,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-010, August 1, 1989-August 15, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-010.pdf,https://catalog.archives.gov/id/470766447
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"June 30, 1989",Memorandum,U.S. Delegation to the Inauguration of the New,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [2]",High,72,Restricted - Possibly,105,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-005, July 16, 1989-July 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf,https://catalog.archives.gov/id/470766442
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"June 30, 1989",Memorandum,Vice President’s Trip t outh America,Latin American Affairs Directorate Subject Files,"South America - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,5,"memorandum form; Presidential or NSC principals; South America, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-010, South America - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-010.pdf,https://catalog.archives.gov/id/470766525
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"June 30, 1989",Memorandum,Vice President's Trip to South America,Latin American Affairs Directorate Subject Files,"South America - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,9,"memorandum form; Presidential or NSC principals; South America, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-010, South America - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-010.pdf,https://catalog.archives.gov/id/470766525
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"June 30, 1989",Memorandum,Vice President’s Trip to South America,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [3]",High,72,Restricted - Possibly,28,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-003, July 1, 1989-July 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf,https://catalog.archives.gov/id/470766440
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"June 6, 1989",Memorandum,Presidential Letter to Families of U.S.,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [4]",High,72,Restricted - Possibly,63,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-019, June 1, 1989-June 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-019.pdf,https://catalog.archives.gov/id/470766436
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"March 1, 1989",Memorandum,"Meeting with U.S. Ambassador to Bolivia, Robert",Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]",High,70,Restricted - Possibly,58,"memorandum form; democracy, debt and economy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"March 1, 1989",Memorandum,"Meeting with U.S. Ambassador to Bolivia, Robert",Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,70,Restricted - Possibly,98,"memorandum form; democracy, debt and economy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"May 11, 1989",Memorandum,Recommendation for Telephone Call by the,Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [3]",High,90,Restricted - Possibly,56,"memorandum form; Presidential or NSC principals; narcotics, democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"October 11, 1989",Memorandum,Letter of Introduction for OPIC Mission to Bolivia,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,33,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"October 2, 1989",Memorandum,Appointment of Jorge Crespo Velasco of Bolivia as,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,26,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"October 23, 1989",Memorandum,Letter of Introduction for OPIC Mission to Bolivia,Latin American Directorate Chronological Files,"October 1, 1989-October 15, 1989 [3]",High,72,Restricted - Possibly,7,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-003, October 1, 1989-October 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-003.pdf,https://catalog.archives.gov/id/470766460
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"September 28, 1989",Memorandum,Appointment of Jorge Crespo Velasco of Bolivia as,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [1]",High,72,Restricted - Possibly,104,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-017, September 16, 1989-September 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf,https://catalog.archives.gov/id/470766454
